structure.c.,Dates_x
48.46188427,2018/8/17 10:49
48.45941072,2018/8/17 10:50
48.46083451,2018/8/17 10:51
48.46157811,2018/8/17 10:52
48.46122069,2018/8/17 10:53
48.46287867,2018/8/17 10:54
48.46364291,2018/8/17 10:55
48.46256914,2018/8/17 10:56
48.46333551,2018/8/17 10:58
48.46321359,2018/8/17 10:59
48.46164509,2018/8/17 11:00
48.46221563,2018/8/17 11:01
48.46089198,2018/8/17 11:02
48.46307945,2018/8/17 11:04
48.46190416,2018/8/17 11:05
48.46234857,2018/8/17 11:06
48.46212845,2018/8/17 11:07
48.46175646,2018/8/17 11:08
48.46232486,2018/8/17 11:10
48.46104638,2018/8/17 11:11
48.4611951,2018/8/17 11:12
48.46123703,2018/8/17 11:13
48.46267509,2018/8/17 11:14
48.46205197,2018/8/17 11:15
48.46064289,2018/8/17 11:16
48.46067302,2018/8/17 11:17
48.46125829,2018/8/17 11:18
48.46139012,2018/8/17 11:19
48.46192112,2018/8/17 11:22
48.46237253,2018/8/17 11:23
48.46158581,2018/8/17 11:24
48.46238015,2018/8/17 11:26
48.46284371,2018/8/17 11:27
48.46158808,2018/8/17 11:28
48.4612136,2018/8/17 11:29
48.46909548,2018/8/17 13:30
48.47398162,2018/8/17 13:31
48.47554978,2018/8/17 13:32
48.47517487,2018/8/17 13:33
48.47445883,2018/8/17 13:34
48.47474192,2018/8/17 13:35
48.4729673,2018/8/17 13:36
48.4736965,2018/8/17 13:37
48.47567158,2018/8/17 13:38
48.47515953,2018/8/17 13:39
48.47467907,2018/8/17 13:40
48.47455403,2018/8/17 13:41
48.47451577,2018/8/17 13:42
48.47548927,2018/8/17 13:43
48.47443718,2018/8/17 13:44
48.47574983,2018/8/17 13:45
48.47727696,2018/8/17 13:46
48.47694915,2018/8/17 13:47
48.47520983,2018/8/17 13:48
48.47378632,2018/8/17 13:49
48.47484205,2018/8/17 13:50
48.47477882,2018/8/17 13:51
48.47391632,2018/8/17 13:52
48.47374952,2018/8/17 13:53
48.47401677,2018/8/17 13:55
48.47409969,2018/8/17 13:56
48.47406157,2018/8/17 13:57
48.47350172,2018/8/17 13:58
48.47367309,2018/8/17 13:59
48.47325255,2018/8/17 14:00
48.47508223,2018/8/17 14:01
48.47638422,2018/8/17 14:02
48.47466447,2018/8/17 14:03
48.47755124,2018/8/17 14:04
48.48169482,2018/8/17 14:05
48.48223107,2018/8/17 14:06
48.48544438,2018/8/17 14:07
48.4833113,2018/8/17 14:08
48.48334059,2018/8/17 14:09
48.48204456,2018/8/17 14:10
48.483068,2018/8/17 14:11
48.48087614,2018/8/17 14:12
48.48013828,2018/8/17 14:13
48.47995211,2018/8/17 14:14
48.48031402,2018/8/17 14:15
48.48098281,2018/8/17 14:16
48.48153089,2018/8/17 14:17
48.47961621,2018/8/17 14:18
48.48111436,2018/8/17 14:19
48.47900054,2018/8/17 14:20
48.47941803,2018/8/17 14:21
48.47934248,2018/8/17 14:22
48.47949689,2018/8/17 14:23
48.47764092,2018/8/17 14:24
48.47759044,2018/8/17 14:25
48.47842289,2018/8/17 14:26
48.47704714,2018/8/17 14:27
48.47586182,2018/8/17 14:28
48.47534961,2018/8/17 14:29
48.47548655,2018/8/17 14:30
48.47470248,2018/8/17 14:32
48.4754512,2018/8/17 14:33
48.47451181,2018/8/17 14:34
48.47412683,2018/8/17 14:35
48.47181384,2018/8/17 14:36
48.47019139,2018/8/17 14:37
48.46992615,2018/8/17 14:38
48.46822994,2018/8/17 14:39
48.46940678,2018/8/17 14:40
48.46921251,2018/8/17 14:41
48.46822713,2018/8/17 14:42
48.46737059,2018/8/17 14:43
48.46606851,2018/8/17 14:44
48.46646193,2018/8/17 14:45
48.46610705,2018/8/17 14:46
48.46588639,2018/8/17 14:47
48.4640636,2018/8/17 14:48
48.4636124,2018/8/17 14:49
48.46252122,2018/8/17 14:51
48.46211489,2018/8/17 14:52
48.46117002,2018/8/17 14:53
48.46151666,2018/8/17 14:54
48.46256,2018/8/17 14:55
48.46222749,2018/8/17 14:56
48.46300319,2018/8/17 14:57
48.46131282,2018/8/17 14:58
48.4629822,2018/8/17 15:00
48.46101685,2018/8/17 15:01
48.4624637,2018/8/17 15:02
48.46090272,2018/8/17 15:03
48.46189277,2018/8/17 15:04
48.46011013,2018/8/17 15:05
48.46048774,2018/8/17 15:06
48.46028976,2018/8/17 15:07
48.46080828,2018/8/17 15:08
48.46320877,2018/8/17 15:09
48.46431572,2018/8/17 15:10
48.4656874,2018/8/17 15:11
48.46482956,2018/8/17 15:12
48.46397778,2018/8/17 15:13
48.4648381,2018/8/17 15:14
48.464655,2018/8/17 15:16
48.46397092,2018/8/17 15:17
48.46356467,2018/8/17 15:18
48.46257437,2018/8/17 15:19
48.46371264,2018/8/17 15:20
48.46402146,2018/8/17 15:21
48.46234864,2018/8/17 15:22
48.4618577,2018/8/17 15:23
48.45990693,2018/8/17 15:24
48.45541048,2018/8/17 15:25
48.45179804,2018/8/17 15:26
48.59849663,2018/8/17 15:27
48.534878,2018/8/17 15:28
48.58186092,2018/8/17 15:29
48.5684458,2018/8/17 15:30
48.5194969,2018/8/17 20:00
48.54161299,2018/8/17 20:01
48.54694014,2018/8/17 20:10
