lbma from Au(T+D),Au(T+D) from LBMA,Dates_x
0.084875348,36.47217234,2018/6/26 13:48
0.088965584,36.48771524,2018/6/26 14:00
0.08674589,36.46700709,2018/6/26 14:14
0.084877607,36.47179224,2018/6/26 14:17
0.082316915,36.438938,2018/6/26 14:25
0.081593734,36.4354004,2018/6/26 14:34
0.083118964,36.45409454,2018/6/26 14:45
0.08301137,36.46305804,2018/6/26 14:46
0.084307678,36.47770052,2018/6/26 14:56
0.083998324,36.48555365,2018/6/26 15:18
0.130299763,36.80129485,2018/6/26 20:00
0.12662669,36.63400062,2018/6/26 20:02
0.131761164,36.63744099,2018/6/26 20:04
0.12997496,36.62042982,2018/6/26 20:07
0.132307659,36.61139099,2018/6/26 20:08
0.132929736,36.61428196,2018/6/26 20:10
0.134559507,36.62315975,2018/6/26 20:13
0.136560316,36.64533472,2018/6/26 20:15
0.133017954,36.65376771,2018/6/26 20:16
0.134394764,36.66701318,2018/6/26 20:18
0.135444242,36.65753121,2018/6/26 20:19
0.135338476,36.66355941,2018/6/26 20:20
0.122311898,36.61031054,2018/6/26 20:21
0.121888432,36.58731238,2018/6/26 20:23
0.123509701,36.59319333,2018/6/26 20:24
0.12196962,36.57636078,2018/6/26 20:26
0.124935174,36.59164959,2018/6/26 20:27
0.121739839,36.58750436,2018/6/26 20:28
0.119986535,36.57388867,2018/6/26 20:29
0.123533165,36.57015784,2018/6/26 20:30
0.121975315,36.56019217,2018/6/26 20:31
0.120721807,36.58040625,2018/6/26 20:32
0.123079445,36.57150987,2018/6/26 20:33
0.118838414,36.55592141,2018/6/26 20:34
0.119814311,36.55591748,2018/6/26 20:36
0.121734765,36.55116184,2018/6/26 20:38
0.121759505,36.5477489,2018/6/26 20:42
0.118973241,36.54653332,2018/6/26 20:43
0.120873258,36.55428172,2018/6/26 20:45
0.120192632,36.55409206,2018/6/26 20:46
0.115787065,36.53738169,2018/6/26 20:48
0.115362739,36.52971061,2018/6/26 20:49
0.115598199,36.53064371,2018/6/26 20:50
0.113961143,36.51929471,2018/6/26 20:52
0.113067865,36.49213903,2018/6/26 20:54
0.110264919,36.47560852,2018/6/26 20:55
0.110674315,36.47257376,2018/6/26 20:56
0.114641054,36.47418441,2018/6/26 20:59
0.11685175,36.48060981,2018/6/26 21:01
0.112216847,36.46315553,2018/6/26 21:02
0.110329341,36.43046946,2018/6/26 21:03
0.111764993,36.44306499,2018/6/26 21:05
0.108697085,36.43589112,2018/6/26 21:06
0.111938732,36.44352632,2018/6/26 21:07
0.10947338,36.43439863,2018/6/26 21:08
0.109925036,36.43502832,2018/6/26 21:09
0.109801621,36.4312504,2018/6/26 21:11
0.109761834,36.40325356,2018/6/26 21:13
0.108701136,36.41175567,2018/6/26 21:15
0.109190249,36.408447,2018/6/26 21:18
0.100273191,36.37216191,2018/6/26 21:20
0.101315637,36.35458084,2018/6/26 21:21
0.096959163,36.30815306,2018/6/26 21:23
0.092760898,36.2506411,2018/6/26 21:26
0.094514486,36.25966594,2018/6/26 21:27
0.083833694,36.22529692,2018/6/26 21:30
0.084071142,36.21166201,2018/6/26 21:31
0.088986536,36.23827135,2018/6/26 21:32
0.084188584,36.21073456,2018/6/26 21:33
0.085749602,36.21927549,2018/6/26 21:34
0.086223074,36.23929489,2018/6/26 21:35
0.08791429,36.22173705,2018/6/26 21:36
0.08998773,36.23874006,2018/6/26 21:37
0.088460805,36.22362544,2018/6/26 21:38
0.086289202,36.21051237,2018/6/26 21:39
0.089822313,36.22168412,2018/6/26 21:41
0.089632131,36.21856003,2018/6/26 21:43
0.091401517,36.2237611,2018/6/26 21:44
0.089490771,36.21695957,2018/6/26 21:45
0.087258443,36.1975318,2018/6/26 21:47
0.08221153,36.1750026,2018/6/26 21:48
0.082895439,36.15118077,2018/6/26 21:50
0.08287127,36.13183768,2018/6/26 21:53
0.083041183,36.13641044,2018/6/26 21:54
0.084162563,36.13288903,2018/6/26 21:55
0.084393306,36.12653618,2018/6/26 21:56
0.08199689,36.13280763,2018/6/26 21:57
0.08117683,36.13546135,2018/6/26 21:59
0.079882584,36.12866078,2018/6/26 22:00
0.080081757,36.09494792,2018/6/26 22:01
0.079983805,36.10697669,2018/6/26 22:02
0.081718046,36.11684042,2018/6/26 22:03
0.082909426,36.16230015,2018/6/26 22:04
0.083380126,36.17772187,2018/6/26 22:05
0.081810274,36.16508733,2018/6/26 22:06
0.076789694,36.14354901,2018/6/26 22:08
0.079671908,36.17267821,2018/6/26 22:10
0.081662929,36.1785219,2018/6/26 22:11
0.079602599,36.16075252,2018/6/26 22:13
0.081628509,36.17861981,2018/6/26 22:15
0.081881781,36.17565523,2018/6/26 22:17
0.084118614,36.18773588,2018/6/26 22:19
0.087405,36.19156943,2018/6/26 22:20
0.086476883,36.1841304,2018/6/26 22:22
0.084037581,36.16300996,2018/6/26 22:23
0.083178879,36.17186388,2018/6/26 22:24
0.082263004,36.1730967,2018/6/26 22:25
0.082317523,36.15359791,2018/6/26 22:26
0.08029612,36.14330669,2018/6/26 22:27
0.080404489,36.14799751,2018/6/26 22:29
0.079705659,36.13715885,2018/6/26 22:30
0.08184273,36.14605859,2018/6/26 22:31
