Dates,open,high,low,close,volume
2018/10/11 0:34,268.05,268.05,268.05,268.05,12
2018/10/11 0:35,268,268,268,268,4
2018/10/11 0:36,268,268,268,268,4
2018/10/11 0:37,268,268,268,268,20
2018/10/11 0:38,268,268,268,268,42
2018/10/11 0:39,268,268,268,268,2
2018/10/11 0:40,268,268,268,268,158
2018/10/11 0:41,268,268,268,268,154
2018/10/11 0:42,268,268,268,268,18
2018/10/11 0:43,268,268,267.95,268,26
2018/10/11 0:44,268,268,268,268,26
2018/10/11 0:45,268,268,268,268,64
2018/10/11 0:46,268,268,268,268,102
2018/10/11 0:47,268,268,268,268,50
2018/10/11 0:48,268,268,267.95,267.95,34
2018/10/11 0:49,267.95,267.95,267.95,267.95,20
2018/10/11 0:50,268,268,268,268,6
2018/10/11 0:51,268,268,267.95,267.95,96
2018/10/11 0:52,267.95,267.95,267.95,267.95,26
2018/10/11 0:53,268,268,268,268,20
2018/10/11 0:54,268,268,268,268,50
2018/10/11 0:55,268,268,268,268,6
2018/10/11 0:56,268,268.05,268,268.05,78
2018/10/11 0:57,268.05,268.1,268.05,268.05,234
2018/10/11 0:58,268.05,268.1,268.05,268.1,78
2018/10/11 0:59,268.1,268.1,268.05,268.1,150
2018/10/11 1:00,268.05,268.1,268.05,268.05,274
2018/10/11 1:01,268.05,268.05,268,268,24
2018/10/11 1:02,268.05,268.05,268.05,268.05,22
2018/10/11 1:03,268.05,268.1,268.05,268.1,114
2018/10/11 1:04,268.05,268.1,268.05,268.1,156
2018/10/11 1:05,268.1,268.1,268.05,268.1,296
2018/10/11 1:06,268.05,268.1,268.05,268.1,740
2018/10/11 1:08,268.1,268.1,268.05,268.05,200
2018/10/11 1:09,268.05,268.05,268.05,268.05,120
2018/10/11 1:10,268.05,268.05,268,268,14
2018/10/11 1:11,268,268.05,267.95,268,182
2018/10/11 1:12,268,268,267.95,268,34
2018/10/11 1:13,268,268,267.95,268,24
2018/10/11 1:14,268.05,268.05,268.05,268.05,4
2018/10/11 1:15,268,268.05,267.95,267.95,42
2018/10/11 1:16,268,268,268,268,10
2018/10/11 1:17,268,268,267.95,267.95,6
2018/10/11 1:18,268,268,268,268,4
2018/10/11 1:19,267.95,267.95,267.95,267.95,2
2018/10/11 1:20,268,268,268,268,6
2018/10/11 1:21,268,268,268,268,4
2018/10/11 1:22,268,268,268,268,2
2018/10/11 1:23,267.95,267.95,267.95,267.95,58
2018/10/11 1:24,267.95,267.95,267.95,267.95,16
2018/10/11 1:25,267.95,267.95,267.95,267.95,30
2018/10/11 1:26,268,268.05,268,268.05,80
