,Unnamed: 0_x,Dates_x,open,high,low,close,volume,times,days,Unnamed: 0_y,Dates_y,Open,Close,High,Low,Value,Volume
65757,5752,2018/8/16 11:20,261.8,261.8,261.8,261.8,2728,1534389600,0,65757,2018/8/16 11:20,261.72,261.72,261.72,261.72,523440,2000
65758,5753,2018/8/16 11:21,261.91,261.91,261.85,261.85,5040,1534389660,0,65758,2018/8/16 11:21,261.75,261.72,261.75,261.72,16226880,62000
65759,5754,2018/8/16 11:22,261.85,261.85,261.85,261.85,176,1534389720,0,65759,2018/8/16 11:22,261.75,261.72,261.75,261.72,2617380,10000
65760,5755,2018/8/16 11:23,261.85,261.85,261.84,261.84,1962,1534389780,0,65760,2018/8/16 11:23,261.74,261.72,261.74,261.72,6804940,26000
65761,5756,2018/8/16 11:24,261.84,261.84,261.8,261.8,4130,1534389840,0,65761,2018/8/16 11:24,261.72,261.74,261.74,261.72,4711000,18000
65762,5757,2018/8/16 11:25,261.8,261.84,261.8,261.84,8010,1534389900,0,65762,2018/8/16 11:25,261.72,261.72,261.74,261.72,2617240,10000
65763,5758,2018/8/16 11:26,261.84,261.84,261.8,261.8,3324,1534389960,0,65763,2018/8/16 11:26,261.72,261.72,261.73,261.72,15703220,60000
65764,5759,2018/8/16 11:27,261.84,261.84,261.84,261.84,1600,1534390020,0,65764,2018/8/16 11:27,261.72,261.66,261.74,261.66,10468600,40000
65765,5760,2018/8/16 11:28,261.84,261.84,261.84,261.84,8,1534390080,0,65765,2018/8/16 11:28,261.7,261.63,261.7,261.63,9419961,36000
65766,5761,2018/8/16 11:29,261.84,261.84,261.84,261.84,10596,1534390140,0,65766,2018/8/16 11:29,261.65,261.61,261.65,261.61,6802420,26000
65767,5762,2018/8/16 13:30,261.84,261.84,261.5,261.65,12562,1534397400,0,65767,2018/8/16 13:30,261.12,261.37,261.4,261.12,151007392,578000
65768,5763,2018/8/16 13:31,261.65,261.65,261.5,261.65,3658,1534397460,0,65768,2018/8/16 13:31,261.35,261.45,261.49,261.3,108203064,414000
65769,5764,2018/8/16 13:32,261.65,261.65,261.62,261.62,2986,1534397520,0,65769,2018/8/16 13:32,261.45,261.45,261.46,261.4,157385344,602000
65770,5765,2018/8/16 13:33,261.65,261.65,261.55,261.55,21444,1534397580,0,65770,2018/8/16 13:33,261.42,261.41,261.44,261.4,86263920,330000
65771,5766,2018/8/16 13:34,261.6,261.6,261.59,261.59,2822,1534397640,0,65771,2018/8/16 13:34,261.4,261.43,261.43,261.4,130181144,498000
65772,5767,2018/8/16 13:35,261.59,261.6,261.55,261.6,13772,1534397700,0,65772,2018/8/16 13:35,261.43,261.45,261.45,261.4,65875400,252000
65773,5768,2018/8/16 13:36,261.58,261.58,261.55,261.55,20000,1534397760,0,65773,2018/8/16 13:36,261.45,261.45,261.45,261.42,61176920,234000
65774,5769,2018/8/16 13:37,261.6,261.6,261.58,261.6,24968,1534397820,0,65774,2018/8/16 13:37,261.45,261.44,261.45,261.42,44444944,170000
65775,5770,2018/8/16 13:38,261.6,261.6,261.6,261.6,10072,1534397880,0,65775,2018/8/16 13:38,261.43,261.45,261.45,261.43,87320440,334000
65776,5771,2018/8/16 13:39,261.6,261.6,261.56,261.58,29934,1534397940,0,65776,2018/8/16 13:39,261.45,261.6,261.61,261.43,79483928,304000
65777,5772,2018/8/16 13:40,261.6,261.65,261.6,261.65,19314,1534398000,0,65777,2018/8/16 13:40,261.59,261.6,261.6,261.55,61209856,234000
65778,5773,2018/8/16 13:41,261.65,261.65,261.65,261.65,9466,1534398060,0,65778,2018/8/16 13:41,261.6,261.74,261.74,261.48,168991840,646000
65780,5774,2018/8/16 13:43,261.9,261.9,261.88,261.88,448,1534398180,0,65780,2018/8/16 13:43,261.68,261.7,261.7,261.63,68555464,262000
65781,5775,2018/8/16 13:44,261.9,261.9,261.9,261.9,7800,1534398240,0,65781,2018/8/16 13:44,261.73,261.8,261.8,261.72,70684720,270000
65782,5776,2018/8/16 13:45,262.09,262.09,262,262,1134,1534398300,0,65782,2018/8/16 13:45,261.8,261.74,261.81,261.74,40309840,154000
65783,5777,2018/8/16 13:46,262,262,262,262,3418,1534398360,0,65783,2018/8/16 13:46,261.74,261.74,261.8,261.71,153905264,588000
65784,5778,2018/8/16 13:47,262,262,261.99,261.99,1530,1534398420,0,65784,2018/8/16 13:47,261.79,261.78,261.79,261.74,96853800,370000
65785,5779,2018/8/16 13:48,261.95,261.95,261.95,261.95,6404,1534398480,0,65785,2018/8/16 13:48,261.77,261.75,261.77,261.73,13611380,52000
65786,5780,2018/8/16 13:49,261.95,261.95,261.95,261.95,588,1534398540,0,65786,2018/8/16 13:49,261.75,261.75,261.75,261.75,3664500,14000
65787,5781,2018/8/16 13:50,261.95,261.95,261.9,261.9,17916,1534398600,0,65787,2018/8/16 13:50,261.75,261.7,261.78,261.7,73814800,282000
65788,5782,2018/8/16 13:51,261.9,261.95,261.9,261.9,12090,1534398660,0,65788,2018/8/16 13:51,261.71,261.75,261.75,261.71,1046920,4000
65789,5783,2018/8/16 13:52,261.9,261.9,261.9,261.9,2,1534398720,0,65789,2018/8/16 13:52,261.74,261.72,261.76,261.72,23556580,90000
65790,5784,2018/8/16 13:53,261.85,261.9,261.8,261.8,5114,1534398780,0,65790,2018/8/16 13:53,261.73,261.75,261.76,261.73,11516640,44000
65791,5785,2018/8/16 13:54,261.9,261.9,261.9,261.9,6900,1534398840,0,65791,2018/8/16 13:54,261.75,261.73,261.76,261.72,77472744,296000
65792,5786,2018/8/16 13:55,261.94,261.94,261.9,261.9,10010,1534398900,0,65792,2018/8/16 13:55,261.74,261.78,261.78,261.71,50777520,194000
65793,5787,2018/8/16 13:56,261.94,261.94,261.9,261.9,18800,1534398960,0,65793,2018/8/16 13:56,261.79,261.75,261.8,261.74,108896544,416000
65794,5788,2018/8/16 13:57,261.94,261.94,261.9,261.93,7030,1534399020,0,65794,2018/8/16 13:57,261.76,261.75,261.79,261.71,155484672,594000
65795,5789,2018/8/16 13:58,261.93,261.93,261.9,261.9,18336,1534399080,0,65795,2018/8/16 13:58,261.75,261.73,261.76,261.72,162281184,620000
65796,5790,2018/8/16 13:59,261.9,261.9,261.86,261.86,14256,1534399140,0,65796,2018/8/16 13:59,261.71,261.7,261.74,261.68,148129184,566000
65797,5791,2018/8/16 14:00,261.9,261.9,261.85,261.89,13780,1534399200,0,65797,2018/8/16 14:00,261.7,261.67,261.71,261.67,88453560,338000
65798,5792,2018/8/16 14:01,261.85,261.85,261.8,261.8,13202,1534399260,0,65798,2018/8/16 14:01,261.66,261.6,261.66,261.6,37148520,142000
65799,5793,2018/8/16 14:02,261.8,261.8,261.76,261.8,11118,1534399320,0,65799,2018/8/16 14:02,261.63,261.56,261.63,261.56,33484838,128000
65800,5794,2018/8/16 14:03,261.8,261.8,261.8,261.8,8438,1534399380,0,65800,2018/8/16 14:03,261.56,261.58,261.58,261.56,4708220,18000
65801,5795,2018/8/16 14:04,261.8,261.8,261.79,261.79,6676,1534399440,0,65801,2018/8/16 14:04,261.57,261.6,261.6,261.57,68536816,262000
65802,5796,2018/8/16 14:05,261.8,261.8,261.8,261.8,7200,1534399500,0,65802,2018/8/16 14:05,261.6,261.64,261.64,261.59,19358660,74000
65803,5797,2018/8/16 14:06,261.79,261.79,261.79,261.79,2582,1534399560,0,65803,2018/8/16 14:06,261.6,261.65,261.65,261.59,173703184,664000
65804,5798,2018/8/16 14:07,261.79,261.79,261.79,261.79,4040,1534399620,0,65804,2018/8/16 14:07,261.64,261.65,261.65,261.64,2616440,10000
65805,5799,2018/8/16 14:08,261.79,261.79,261.78,261.78,422,1534399680,0,65805,2018/8/16 14:08,261.65,261.7,261.7,261.65,1046700,4000
65806,5800,2018/8/16 14:09,261.78,261.78,261.76,261.76,434,1534399740,0,65806,2018/8/16 14:09,261.64,261.7,261.7,261.64,15699241,60000
65807,5801,2018/8/16 14:10,261.76,261.76,261.75,261.75,4016,1534399800,0,65807,2018/8/16 14:10,261.64,261.64,261.64,261.61,57036464,218000
65808,5802,2018/8/16 14:11,261.76,261.76,261.75,261.75,608,1534399860,0,65808,2018/8/16 14:11,261.61,261.64,261.64,261.61,11511460,44000
65809,5803,2018/8/16 14:12,261.75,261.75,261.73,261.73,2014,1534399920,0,65809,2018/8/16 14:12,261.64,261.68,261.68,261.64,1046640,4000
65810,5804,2018/8/16 14:13,261.73,261.73,261.73,261.73,942,1534399980,0,65810,2018/8/16 14:13,261.68,261.68,261.68,261.68,3663520,14000
65811,5805,2018/8/16 14:14,261.73,261.73,261.73,261.73,1392,1534400040,0,65811,2018/8/16 14:14,261.7,261.68,261.7,261.68,4187040,16000
65812,5806,2018/8/16 14:15,261.7,261.7,261.7,261.7,10000,1534400100,0,65812,2018/8/16 14:15,261.7,261.7,261.7,261.68,20935620,80000
65813,5807,2018/8/16 14:16,261.74,261.74,261.74,261.74,4988,1534400160,0,65813,2018/8/16 14:16,261.7,261.7,261.7,261.7,6280800,24000
65814,5808,2018/8/16 14:17,261.76,261.8,261.76,261.8,10192,1534400220,0,65814,2018/8/16 14:17,261.73,261.75,261.75,261.73,16751960,64000
65815,5809,2018/8/16 14:18,261.8,261.9,261.8,261.9,208,1534400280,0,65815,2018/8/16 14:18,261.75,261.76,261.76,261.74,12563580,48000
65816,5810,2018/8/16 14:19,261.9,261.9,261.9,261.9,600,1534400340,0,65816,2018/8/16 14:19,261.77,261.75,261.77,261.73,55490560,212000
65817,5811,2018/8/16 14:20,261.9,261.9,261.8,261.8,23576,1534400400,0,65817,2018/8/16 14:20,261.75,261.73,261.77,261.73,79048840,302000
65818,5812,2018/8/16 14:21,261.8,261.85,261.8,261.85,8464,1534400460,0,65818,2018/8/16 14:21,261.73,261.75,261.77,261.73,99985776,382000
65819,5813,2018/8/16 14:22,261.8,261.8,261.8,261.8,2632,1534400520,0,65819,2018/8/16 14:22,261.7,261.72,261.72,261.7,84267680,322000
65820,5814,2018/8/16 14:23,261.8,261.8,261.7,261.7,60,1534400580,0,65820,2018/8/16 14:23,261.72,261.68,261.75,261.68,80081936,306000
65821,5815,2018/8/16 14:24,261.8,261.8,261.75,261.75,2700,1534400640,0,65821,2018/8/16 14:24,261.65,261.61,261.65,261.61,13604780,52000
65822,5816,2018/8/16 14:25,261.75,261.75,261.7,261.7,5894,1534400700,0,65822,2018/8/16 14:25,261.68,261.62,261.68,261.62,42905800,164000
65823,5817,2018/8/16 14:26,261.7,261.7,261.7,261.7,7086,1534400760,0,65823,2018/8/16 14:26,261.63,261.62,261.64,261.62,39243320,150000
65824,5818,2018/8/16 14:27,261.75,261.75,261.7,261.7,5168,1534400820,0,65824,2018/8/16 14:27,261.62,261.58,261.63,261.58,42379640,162000
65825,5819,2018/8/16 14:28,261.7,261.7,261.7,261.7,76,1534400880,0,65825,2018/8/16 14:28,261.6,261.6,261.6,261.57,30866440,118000
65826,5820,2018/8/16 14:29,261.7,261.7,261.7,261.7,632,1534400940,0,65826,2018/8/16 14:29,261.6,261.62,261.63,261.6,77437856,296000
65827,5821,2018/8/16 14:30,261.7,261.7,261.68,261.68,11432,1534401000,0,65827,2018/8/16 14:30,261.63,261.69,261.69,261.63,75354800,288000
65828,5822,2018/8/16 14:31,261.66,261.68,261.66,261.68,4100,1534401060,0,65828,2018/8/16 14:31,261.66,261.62,261.66,261.62,84245520,322000
65829,5823,2018/8/16 14:32,261.68,261.7,261.68,261.68,1688,1534401120,0,65829,2018/8/16 14:32,261.6,261.62,261.62,261.57,92604120,354000
65830,5824,2018/8/16 14:33,261.7,261.7,261.7,261.7,4752,1534401180,0,65830,2018/8/16 14:33,261.59,261.63,261.63,261.59,38720340,148000
65831,5825,2018/8/16 14:34,261.7,261.73,261.7,261.73,6628,1534401240,0,65831,2018/8/16 14:34,261.63,261.63,261.63,261.6,54417240,208000
65832,5826,2018/8/16 14:35,261.73,261.73,261.73,261.73,4400,1534401300,0,65832,2018/8/16 14:35,261.65,261.69,261.7,261.65,74838720,286000
65834,5827,2018/8/16 14:37,261.76,261.76,261.76,261.76,10000,1534401420,0,65834,2018/8/16 14:37,261.72,261.75,261.75,261.72,84804560,324000
65835,5828,2018/8/16 14:38,261.8,261.8,261.76,261.8,6676,1534401480,0,65835,2018/8/16 14:38,261.75,261.75,261.75,261.75,62820000,240000
65836,5829,2018/8/16 14:39,261.8,261.85,261.8,261.85,6466,1534401540,0,65836,2018/8/16 14:39,261.75,261.77,261.77,261.75,13611759,52000
65837,5830,2018/8/16 14:40,261.85,261.85,261.85,261.85,510,1534401600,0,65837,2018/8/16 14:40,261.75,261.76,261.77,261.75,14134980,54000
65838,5831,2018/8/16 14:41,261.85,261.85,261.85,261.85,824,1534401660,0,65838,2018/8/16 14:41,261.78,261.82,261.82,261.77,85346976,326000
65839,5832,2018/8/16 14:42,261.88,261.88,261.85,261.88,2562,1534401720,0,65839,2018/8/16 14:42,261.8,261.85,261.85,261.8,58653020,224000
65840,5833,2018/8/16 14:43,261.88,261.88,261.85,261.88,794,1534401780,0,65840,2018/8/16 14:43,261.85,261.83,261.86,261.83,20947360,80000
65841,5834,2018/8/16 14:44,261.88,261.88,261.85,261.88,6962,1534401840,0,65841,2018/8/16 14:44,261.83,261.81,261.83,261.75,92679856,354000
65842,5835,2018/8/16 14:45,261.88,261.88,261.88,261.88,134,1534401900,0,65842,2018/8/16 14:45,261.81,261.81,261.81,261.76,105761240,404000
65843,5836,2018/8/16 14:46,261.95,261.95,261.95,261.95,1332,1534401960,0,65843,2018/8/16 14:46,261.81,261.78,261.83,261.78,57597700,220000
65844,5837,2018/8/16 14:47,261.9,261.92,261.9,261.92,12000,1534402020,0,65844,2018/8/16 14:47,261.78,261.8,261.84,261.78,129334640,494000
65845,5838,2018/8/16 14:48,261.92,261.92,261.92,261.92,4464,1534402080,0,65845,2018/8/16 14:48,261.8,261.83,261.83,261.79,121998888,466000
65847,5839,2018/8/16 14:50,261.9,261.9,261.9,261.9,480,1534402200,0,65847,2018/8/16 14:50,261.79,261.8,261.8,261.79,29321358,112000
65848,5840,2018/8/16 14:51,261.9,261.9,261.9,261.9,1762,1534402260,0,65848,2018/8/16 14:51,261.8,261.8,261.81,261.79,120427632,460000
65850,5841,2018/8/16 14:53,261.88,261.9,261.88,261.9,13422,1534402380,0,65850,2018/8/16 14:53,261.8,261.83,261.83,261.79,74875296,286000
65851,5842,2018/8/16 14:54,261.9,261.9,261.9,261.9,4126,1534402440,0,65851,2018/8/16 14:54,261.81,261.8,261.82,261.8,79064432,302000
65852,5843,2018/8/16 14:55,261.92,261.92,261.86,261.92,4424,1534402500,0,65852,2018/8/16 14:55,261.83,261.81,261.85,261.8,40845120,156000
65853,5844,2018/8/16 14:56,261.92,262,261.92,261.99,8000,1534402560,0,65853,2018/8/16 14:56,261.85,261.8,261.85,261.8,148709376,568000
65854,5845,2018/8/16 14:57,261.99,262,261.92,261.99,6880,1534402620,0,65854,2018/8/16 14:57,261.84,261.85,261.85,261.82,17805540,68000
65855,5846,2018/8/16 14:58,261.99,262,261.91,262,21880,1534402680,0,65855,2018/8/16 14:58,261.81,261.83,261.85,261.81,5760240,22000
65856,5847,2018/8/16 14:59,262,262,261.94,262,5022,1534402740,0,65856,2018/8/16 14:59,261.81,261.85,261.85,261.81,17281700,66000
65857,5848,2018/8/16 15:00,261.94,262.1,261.94,262.05,6016,1534402800,0,65857,2018/8/16 15:00,261.85,261.85,261.86,261.85,8379240,32000
65858,5849,2018/8/16 15:01,262.02,262.1,262.02,262.1,8206,1534402860,0,65858,2018/8/16 15:01,261.85,261.86,261.87,261.85,20948400,80000
65860,5850,2018/8/16 15:03,262,262,262,262,20,1534402980,0,65860,2018/8/16 15:03,261.92,261.9,261.95,261.9,6810140,26000
65861,5851,2018/8/16 15:04,262.05,262.05,262.05,262.05,2000,1534403040,0,65861,2018/8/16 15:04,261.94,261.9,261.95,261.9,25144480,96000
65862,5852,2018/8/16 15:05,262.08,262.08,262.08,262.08,1000,1534403100,0,65862,2018/8/16 15:05,261.9,262,262,261.9,103742240,396000
65863,5853,2018/8/16 15:06,262.1,262.1,262.1,262.1,8572,1534403160,0,65863,2018/8/16 15:06,261.95,261.96,261.96,261.92,38767860,148000
65864,5854,2018/8/16 15:07,262.1,262.11,262.1,262.11,800,1534403220,0,65864,2018/8/16 15:07,261.92,261.96,261.96,261.92,13097620,50000
65865,5855,2018/8/16 15:08,262.11,262.14,262.1,262.14,21274,1534403280,0,65865,2018/8/16 15:08,261.93,261.97,262,261.93,114230736,436000
65866,5856,2018/8/16 15:09,262.15,262.15,262.15,262.15,1114,1534403340,0,65866,2018/8/16 15:09,261.98,261.98,262,261.98,2619880,10000
65867,5857,2018/8/16 15:10,262.15,262.15,262.15,262.15,876,1534403400,0,65867,2018/8/16 15:10,262,262.03,262.03,261.98,9956220,38000
